codigo_apa,descricao,data_inici,latitude,longitude,morada,codigo_pos,localidade,geometry
ELE04088,REE Estabelecimento Prisional de Lisboa,2021-05-22,38.73008,-9.15801,"Rua Marquês da Fronteira, nº 54",1099-011,LISBOA,POINT (-9.15800999999999 38.73007999999999)
ELE04092,REE Canon - CGD Lisboa - Lumiar,2021-05-22,38.7731,-9.16171,"Alameda das Linhas de Torres, 259",1750-145,LISBOA,POINT (-9.161710000000028 38.7731)
ELE04096,REE Canon - CGD Lisboa - Conde Valbom,2021-05-22,38.7353898,-9.1482988,"Av Conde de Valbom , 8",1050-068,LISBOA,POINT (-9.14829880000002 38.73538980000001)
ELE04099,REE Canon - CGD Lisboa - Areeiro,2021-05-22,38.74147,-9.13009,"Av Afonso Costa, LT.15",1900-031,LISBOA,POINT (-9.130089999999996 38.74146999999999)
ELE04125,REE UNL - Instituto Higiene e Medicina Tropical,2021-05-22,38.70084,-9.1818,Rua da Junqueira 100,1349-008,LISBOA,POINT (-9.18180000000001 38.70084000000003)
ELE04129,REE Rádio Renascença,2021-05-22,38.74247,-9.20372,"Quinta do Bom Pastor, Estrada da Buraca 8-12",1549-025,LISBOA,POINT (-9.203719999999976 38.742470000000026)
ELE04130,REE Konica - Credit Suisse,2021-05-22,38.72022,-9.14497,"Tivoli Fórum, Av. Da Liberdade, nº 180A – 8º Piso",1250-146,LISBOA,POINT (-9.14497 38.72021999999998)
ELE04132,REE Konica - Unilfarma,2021-05-22,38.76279,-9.1057,Av. De Pádua 11,1800-294,LISBOA,POINT (-9.105700000000013 38.762789999999995)
ELE04147,REE CNE - Agrupamento 0834 - Anjos,2021-05-22,38.724495,-9.134506,Av. Almirante Reis  - Igreja Nossa Srª dos Anjos,1170-286,LISBOA,POINT (-9.134505999999988 38.72449499999999)
ELE04151,REE CNE - Agrupamento 0760 - Beato,2021-05-22,38.730128,-9.108792,"Calçada do Grilo, 2",1950-426,LISBOA,POINT (-9.108791999999994 38.73012799999998)
ELE04165,REE Konica - Águas de Portugal,2021-05-22,38.74519,-9.14668,"Rua Visconde de Seabra, 3",1700-421,LISBOA,POINT (-9.146680000000003 38.74518999999998)
ELE04166,REE Konica - Duplix Alexandre Herculano,2021-05-22,38.7227,-9.14983,"Rua Alexandre Herculano, nº 34",1250-011,LISBOA,POINT (-9.149830000000009 38.722699999999975)
ELE04206,REE Konica - Hotel HF Fénix Urban,2021-05-22,38.72867,-9.14888,"Av. António Augusto de Aguiar, 14",1050-016,LISBOA,POINT (-9.14888000000002 38.72867000000002)
ELE04207,REE Konica - CS Associados,2021-05-22,38.71901,-9.14522,"Av. da Liberdade, nº 249 – 8º",1250-143,Lisboa,POINT (-9.145219999999995 38.719010000000026)
ELE04208,REE Konica - EMEL - Marquês de Pombal,2021-05-22,38.749557,-9.150057,Pq Estac. Subterrâneo - Praça Marquês de Pombal,1070-099,LISBOA,POINT (-9.150057000000004 38.74955699999998)
ELE04239,REE Notecon,2021-05-22,38.786603,-9.120364,Av. Columbano Bordalo Pinheiro 87 cave 2,1070-062,LISBOA,POINT (-9.120363999999995 38.786603000000014)
